RegionID,SizeRank,Location,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023
394404,11,"Boston, MA",2204.315575,2222.908163,2241.982492,2259.710779,2268.652786,2267.262218,2258.927799,2251.618454,2239.879523,2234.230088,2246.276552,2274.686898,2302.209707,2317.705727,2331.115055,2343.799426,2352.615003,2353.536763,2342.817717,2327.259951,2305.889451,2303.990157,2325.301642,2358.902277,2382.171338,2395.936944,2407.037394,2422.089766,2429.484929,2429.790072,2421.826445,2399.332446,2384.015762,2378.628515,2401.950785,2422.641752,2446.850951,2460.352535,2477.539483,2491.280694,2500.713477,2500.957314,2485.655005,2468.684346,2457.327493,2463.766401,2480.433749,2497.702671,2518.011977,2535.616155,2559.522647,2577.350922,2585.046549,2583.393742,2569.715008,2553.732744,2539.509441,2540.558246,2557.308339,2582.646382,2603.890658,2604.551865,2594.19225,2578.508802,2570.598269,,,2416.206636,2381.49403,2370.40706,2383.926627,2413.945364,2453.162901,2493.359521,2537.173319,2581.409511,2628.165226,2661.349783,2690.08489,2708.426378,2730.641499,2736.04933,2741.382194,2737.023567,2751.624102,2785.122807,2837.739178,2887.240032,2925.437703,2952.436419,2976.528773,2981.047619,2976.1587,2956.170622,2948.236203
395057,12,"San Francisco, CA",2378.89732,2403.862191,2433.521989,2463.051383,2493.478705,2515.454239,2530.934013,2545.567453,2546.70607,2545.014458,2546.926486,2562.517286,2581.705474,2601.232891,2618.08218,2635.428987,2650.605449,2655.460513,2642.799797,2627.110464,2610.95377,2603.14027,2601.608802,2617.393058,2638.654156,2658.173646,2679.898495,2705.885825,2725.327838,2733.464075,2736.271967,2734.130874,2727.049687,2719.706965,2723.367559,2731.186623,2743.870541,2758.70465,2778.040417,2796.998139,2813.369561,2826.066187,2829.074454,2828.470806,2825.497936,2824.567864,2824.846355,2832.274238,2847.176756,2863.206325,2879.02086,2896.452998,2913.498186,2921.156121,2918.282203,2905.346489,2898.521225,2895.304425,2909.49305,2921.535567,2929.08867,2919.84514,2906.528927,2886.594458,2865.033585,,,2714.333256,2693.371405,2675.420158,2676.401782,2677.792906,2711.940173,2739.639582,2781.99543,2826.137949,2882.942301,2924.708651,2943.095822,2943.373828,2942.698025,2952.146867,2963.580996,2986.852437,3016.327212,3047.602062,3079.490605,3100.668785,3122.099811,3131.536371,3128.306154,3115.830591,3095.082603,3081.182061,3068.930106
395025,13,"Riverside, CA",1437.225208,1448.40531,1454.872875,1460.493112,1463.076059,1471.84419,1480.877271,1485.833413,1490.890527,1493.800961,1498.168265,1501.175705,1508.893518,1515.829817,1523.768261,1531.560584,1539.511217,1545.441653,1551.119219,1554.60403,1556.890132,1557.225821,1566.837009,1575.10348,1588.778535,1602.146577,1617.682683,1627.877755,1633.733129,1640.539618,1646.651434,1652.282249,1656.694697,1656.807854,1661.520765,1669.300253,1682.844688,1693.656379,1699.838638,1710.507806,1720.74273,1733.77101,1742.138211,1748.325431,1749.761493,1753.497828,1754.865996,1761.864934,1768.174381,1777.511639,1785.127939,1791.010384,1802.010472,1813.184501,1821.073576,1824.204156,1824.098371,1829.100849,1832.915088,1841.072289,1845.4091,1839.125095,1832.259684,1837.9376,1862.833035,1897.829987,1933.101905,1963.049792,1988.990779,2002.71811,2014.500705,2033.902482,2066.35666,2111.82008,2151.84003,2197.298634,2247.412615,2301.611027,2341.15871,2355.973653,2359.404905,2365.8165,2387.660436,2411.637441,2443.347787,2471.969,2495.408604,2513.883783,2531.04561,2535.041494,2537.762555,2522.364137,2518.930946,2503.433288,2496.002488
394532,14,"Detroit, MI",915.9094134,922.8903881,930.0140259,935.9989666,940.4238502,944.1192076,944.6789628,943.2123809,941.7822426,940.3223529,943.1498085,944.0648334,949.3829092,953.7322509,958.8585483,963.0211606,968.752355,974.6713767,976.077561,976.1522051,972.6235884,971.1993679,970.9917762,974.8737181,982.4427296,990.6019961,1000.964968,1010.105976,1016.803676,1019.491858,1019.796735,1017.718807,1016.907297,1015.977078,1016.004563,1019.649587,1025.473361,1033.083234,1041.416716,1047.716341,1055.169112,1057.350024,1060.077834,1058.888919,1057.746711,1054.464411,1056.80297,1057.277126,1063.859369,1070.325831,1082.04507,1091.651639,1096.880165,1101.578895,1099.634656,1097.758289,1094.034765,1096.118251,1092.739277,1092.494595,1094.729455,1101.995135,1105.702947,1112.13772,1124.975485,1137.3719,1148.890733,1157.055447,1165.050639,1171.318051,1176.216693,1182.013525,1188.547162,1201.921764,1219.646648,1239.175749,1257.075002,1273.931171,1285.336084,1294.013805,1301.528251,1311.280798,1312.70578,1318.644279,1322.207906,1341.237412,1357.685195,1375.745003,1384.852892,1388.676923,1393.640724,1390.294896,1385.864692,1384.419925,1387.745623
395078,15,"Seattle, WA",1428.862239,1441.784678,1453.664909,1469.222714,1483.207862,1497.421231,1500.246082,1503.697656,1497.400259,1494.470707,1498.579357,1510.14753,1531.225557,1547.261985,1575.026786,1591.167237,1604.744696,1608.023728,1608.990233,1609.667727,1602.38867,1600.003898,1603.612709,1617.977491,1639.669624,1663.050453,1687.806287,1706.314496,1719.24947,1725.715988,1722.942632,1712.844181,1695.073944,1683.20601,1684.017985,1694.119966,1710.918926,1727.642152,1747.357432,1762.385092,1772.438103,1774.355875,1771.00978,1762.104555,1754.45338,1751.648102,1754.472182,1763.786978,1777.551201,1795.262838,1813.787268,1832.495432,1844.912684,1853.742357,1848.707904,1843.74166,1834.345388,1837.444987,1846.686378,1863.778679,1881.598674,1880.784882,1870.556609,1857.304648,1856.52478,1853.523408,1837.524748,1810.573399,1780.921456,1758.50278,1755.530481,1767.450648,1794.071055,1828.281105,1871.384271,1923.073384,1976.729577,2024.642457,2059.32359,2070.397033,2070.772815,2062.962513,2063.399718,2078.875423,2102.184658,2130.8435,2161.354487,2197.174896,2225.551116,2235.448147,2228.370108,2212.091572,2186.412804,2164.937057,2152.729384
394865,16,"Minneapolis, MN",1195.006635,1203.352825,1212.296295,1220.060385,1226.752229,1229.940847,1228.697417,1223.847044,1221.759937,1222.463765,1225.032908,1226.987969,1236.306732,1248.670169,1262.120299,1268.490027,1272.379008,1274.226133,1273.401749,1273.509448,1274.075757,1269.123764,1273.189665,1280.295329,1298.436927,1309.11861,1317.45288,1325.384691,1330.455201,1334.327005,1332.900926,1329.070512,1327.11512,1326.85527,1335.427376,1343.799683,1355.966612,1364.925822,1373.190965,1383.9466,1390.477969,1394.588567,1390.221572,1387.423656,1385.493522,1386.168143,1390.325199,1399.349794,1414.996197,1428.614882,1439.454883,1447.627429,1450.977324,1451.789422,1448.290494,1446.959183,1449.494798,1446.700312,1451.858812,1457.129705,1469.573173,1472.358677,1470.664367,1468.65847,1467.885935,1469.584598,1467.012231,1465.874215,1461.506096,1458.999885,1457.581453,1459.647741,1470.879569,1485.303896,1505.466134,1520.472307,1534.7493,1543.132969,1548.506875,1548.917123,1546.240266,1545.870521,1549.051561,1564.075454,1574.970246,1589.027389,1601.314206,1615.748744,1621.966519,1620.952694,1617.675203,1615.959898,1611.359556,1612.424117,1610.765581
395056,17,"San Diego, CA",1792.910106,1805.244202,1811.369984,1820.509449,1830.232074,1842.255096,1851.680078,1854.425065,1859.056066,1862.228137,1870.041419,1877.099933,1892.716222,1906.663413,1923.542088,1935.636724,1941.683988,1945.707066,1948.600698,1955.490987,1956.163344,1952.600321,1955.177505,1969.967458,1987.87172,2007.03383,2023.1701,2039.708961,2052.773377,2060.334471,2062.81182,2064.431314,2058.295435,2058.722303,2064.465184,2079.529636,2094.886154,2108.75536,2124.947903,2140.537846,2153.054551,2164.300927,2170.535888,2171.281609,2168.416843,2163.741023,2164.789084,2167.404629,2176.43113,2189.650104,2203.385838,2216.339327,2227.301773,2237.052979,2242.946414,2247.795493,2245.262905,2243.280078,2243.489921,2251.051779,2258.697531,2247.843323,2236.984521,2233.491399,2248.283784,2260.852463,2273.305226,2286.893016,2302.869149,2313.687478,2320.550304,2327.428041,2346.328364,2379.722618,2424.720698,2471.612561,2524.561351,2585.610534,2643.247314,2686.20329,2713.607496,2731.487657,2738.377261,2760.796189,2797.755251,2856.454348,2904.136704,2952.000483,2990.13768,3025.890683,3034.155854,3029.801797,3002.15357,2982.096082,2966.29496
395148,18,"Tampa, FL",1115.753991,1120.865806,1129.437647,1136.810199,1144.616509,1148.69563,1153.388054,1157.823115,1164.315512,1167.617252,1171.358461,1173.824489,1180.389511,1186.693322,1192.031603,1198.12116,1201.225914,1206.06171,1209.057866,1214.365633,1219.2258,1221.195915,1224.736628,1228.613266,1237.019241,1245.533012,1252.747304,1259.292349,1264.289393,1268.894319,1268.077484,1271.936996,1276.15576,1283.422995,1287.607176,1293.862828,1302.739337,1312.814499,1321.575069,1329.712315,1335.422892,1341.241486,1342.48455,1343.729715,1347.704953,1351.986826,1355.667219,1357.653665,1363.846559,1372.790346,1382.138361,1390.415106,1396.419057,1402.888507,1407.40789,1412.477001,1412.794789,1416.439546,1420.68702,1426.317657,1433.136206,1432.489088,1430.049749,1431.402977,1442.33282,1458.391487,1473.155437,1487.283316,1500.032675,1508.625364,1519.09383,1533.20899,1549.074426,1573.53258,1615.576836,,,1812.227035,1864.156786,1901.051944,1922.367507,1941.982397,1953.762968,1971.424728,1990.729022,2016.420808,2044.221061,2069.866751,2090.87527,2094.857135,2095.132568,2088.323622,2086.464086,2083.113035,2087.004867
394530,19,"Denver, CO",1336.829649,1357.394937,1372.369756,1389.74854,1398.912633,1407.011331,1405.530805,1406.672024,1401.267602,1406.434181,1409.260167,1422.263128,1426.493632,1435.017098,1444.281478,1456.204785,1465.316272,1465.692925,1463.99933,1453.611602,1445.502455,1439.119217,1443.711527,1450.828045,1465.807624,1480.741977,1500.235086,1512.959552,1523.313411,1524.904408,1521.245759,1515.112492,1506.373511,1501.397301,1503.683039,1513.195298,1525.272366,1537.025075,1548.007727,1562.696495,1572.394166,1579.411849,1576.499047,1571.256993,1566.257279,1566.142067,1570.67517,1578.64019,1588.445756,1599.592763,1612.163136,1627.318445,1635.851518,1638.590615,1631.600772,1627.095315,1622.007809,1620.195577,1620.699964,1628.541062,1637.090741,1629.627216,1618.813847,1611.591876,1621.249629,1626.173753,1625.542539,1620.697454,1617.078072,1615.004177,1617.377336,1622.38347,1637.59401,1663.166183,1700.607652,1743.025913,1785.933374,1825.242069,1849.838063,1857.498773,1853.311975,1853.637375,1860.668524,1875.435887,1896.425063,1921.518082,1949.486185,1971.147857,1983.427378,1984.435296,1980.567287,1973.54423,1962.735141,1952.16816,1951.904364
395121,20,"St. Louis, MO",943.1948799,948.8938105,953.385406,955.7144927,956.2303145,961.5108387,959.9847298,962.2772737,957.9378274,958.1126013,958.0427778,962.6477263,965.7623789,970.5934064,974.0128978,977.3602694,981.2621967,980.293205,978.2485816,977.2848357,976.678301,976.8665261,977.0785951,979.28698,986.7039208,992.1595273,996.7926405,999.6579049,1001.911229,1003.220038,1001.145302,1001.184226,1001.090202,1000.928578,1001.244299,1002.586384,1007.786751,1013.87122,1021.227911,1025.293657,1027.654412,1028.292369,1030.111901,1029.016438,1028.657597,1027.842699,1029.232006,1032.321751,1039.844659,1047.735476,1052.883324,1058.609051,1060.59401,1064.5737,1063.318752,1061.347844,1060.112503,1059.542418,1064.586498,1068.781656,1078.1878,1081.316859,1085.858371,1085.67045,1090.756545,1097.610664,1103.0087,1107.646907,1107.504814,1106.591146,1104.793784,1108.257428,1117.3347,1131.490021,1147.725462,1159.991737,1176.010346,1186.322487,1199.241331,1203.126661,1212.471309,1220.046528,1223.736352,1231.598659,1243.359125,1262.194077,1277.794782,1292.857398,1305.122456,1314.396022,1316.230595,1319.470131,1318.393195,1318.096361,1318.199792
